source,title,summary,topic,clean_text,language
WHO,COVID-19 cases rise globally,WHO reports a significant increase in covid infections across multiple continents,Covid,covid-19 cases rise globally who reports a significant increase in covid infections across multiple continents,en
WHO,New covid variant detected in Europe,Scientists are monitoring a new coronavirus mutation spreading rapidly,Covid,new covid variant detected in europe scientists are monitoring a new coronavirus mutation spreading rapidly,en
WHO,Long covid symptoms concern doctors,Medical experts analyze long-term covid health effects,Covid,long covid symptoms concern doctors medical experts analyze long-term covid health effects,en
WHO,Covid hospitalization rates increase,Hospitals report more covid patients requiring intensive care,Covid,covid hospitalization rates increase hospitals report more covid patients requiring intensive care,en
Spiegel Gesundheit,Corona Zahlen steigen erneut,Covid Infektionen nehmen in Deutschland wieder deutlich zu,Covid,corona zahlen steigen erneut covid infektionen nehmen in deutschland wieder deutlich zu,de
Tagesschau Gesundheit,Neue Corona-Maßnahmen diskutiert,Politik berät über neue Regeln zur Eindämmung von Covid,Covid,neue corona-maßnahmen diskutiert politik berät über neue regeln zur eindämmung von covid,de
Deutsches Ärzteblatt,Covid belastet Intensivstationen,Krankenhäuser melden steigende Auslastung durch Corona,Covid,covid belastet intensivstationen krankenhäuser melden steigende auslastung durch corona,de
WHO,New vaccination strategy for influenza,WHO introduces an updated vaccination plan to reduce flu infections,Vaccination,new vaccination strategy for influenza who introduces an updated vaccination plan to reduce flu infections,en
WHO,Vaccine effectiveness confirmed,Studies show vaccines significantly reduce severe disease,Vaccination,vaccine effectiveness confirmed studies show vaccines significantly reduce severe disease,en
Spiegel Gesundheit,Impfstoff gegen Grippe empfohlen,Ärzte empfehlen die jährliche Influenza-Impfung,Vaccination,impfstoff gegen grippe empfohlen ärzte empfehlen die jährliche influenza-impfung,de
Tagesschau Gesundheit,Impfquote in Deutschland steigt,Mehr Bürger lassen sich gegen verschiedene Krankheiten impfen,Vaccination,impfquote in deutschland steigt mehr bürger lassen sich gegen verschiedene krankheiten impfen,de
Deutsches Ärzteblatt,Impfprogramme sollen ausgeweitet werden,Mediziner fordern bessere Impfkampagnen,Vaccination,impfprogramme sollen ausgeweitet werden mediziner fordern bessere impfkampagnen,de
WHO,Booster vaccination advised,Additional vaccine doses improve immune protection,Vaccination,booster vaccination advised additional vaccine doses improve immune protection,en
WHO,Global pandemic preparedness reviewed,International organizations evaluate readiness for future pandemics,Pandemic,global pandemic preparedness reviewed international organizations evaluate readiness for future pandemics,en
WHO,Epidemic outbreak under observation,Health authorities monitor a rapidly spreading epidemic,Pandemic,epidemic outbreak under observation health authorities monitor a rapidly spreading epidemic,en
Spiegel Gesundheit,Pandemiepläne überarbeitet,Gesundheitssystem zieht Lehren aus früheren Pandemien,Pandemic,pandemiepläne überarbeitet gesundheitssystem zieht lehren aus früheren pandemien,de
Tagesschau Gesundheit,Pandemiepolitik wird analysiert,Experten bewerten staatliche Maßnahmen,Pandemic,pandemiepolitik wird analysiert experten bewerten staatliche maßnahmen,de
Deutsches Ärzteblatt,Pandemie belastet Gesundheitssystem,Langfristige Auswirkungen der Pandemie diskutiert,Pandemic,pandemie belastet gesundheitssystem langfristige auswirkungen der pandemie diskutiert,de
WHO,Influenza cases rising early,Flu season begins earlier than expected this year,Influenza,influenza cases rising early flu season begins earlier than expected this year,en
WHO,New influenza strain identified,Researchers investigate a new flu virus variant,Influenza,new influenza strain identified researchers investigate a new flu virus variant,en
Spiegel Gesundheit,Grippewelle rollt durchs Land,Viele Menschen leiden unter Fieber und Husten,Influenza,grippewelle rollt durchs land viele menschen leiden unter fieber und husten,de
Tagesschau Gesundheit,Erkältungs- und Grippefälle steigen,Ärzte melden mehr Influenza-Patienten,Influenza,erkältungs- und grippefälle steigen ärzte melden mehr influenza-patienten,de
Deutsches Ärzteblatt,Grippe-Impfung dringend empfohlen,Mediziner raten zur Influenza-Schutzimpfung,Influenza,grippe-impfung dringend empfohlen mediziner raten zur influenza-schutzimpfung,de
WHO,Depression rates increase globally,More people suffer from depression and emotional exhaustion,Depression,depression rates increase globally more people suffer from depression and emotional exhaustion,en
WHO,Mental health crisis after pandemic,Psychologists warn about long-term mental health effects,Depression,mental health crisis after pandemic psychologists warn about long-term mental health effects,en
Spiegel Gesundheit,Depression bei Jugendlichen nimmt zu,Studien zeigen mehr psychische Belastungen bei jungen Menschen,Depression,depression bei jugendlichen nimmt zu studien zeigen mehr psychische belastungen bei jungen menschen,de
Tagesschau Gesundheit,Angststörungen werden häufiger,Immer mehr Menschen suchen psychologische Hilfe,Depression,angststörungen werden häufiger immer mehr menschen suchen psychologische hilfe,de
Deutsches Ärzteblatt,Psychische Erkrankungen im Fokus,Depressionen und Angststörungen werden häufiger diagnostiziert,Depression,psychische erkrankungen im fokus depressionen und angststörungen werden häufiger diagnostiziert,de
WHO,Alcohol addiction remains widespread,WHO warns about rising alcohol abuse worldwide,Addiction,alcohol addiction remains widespread who warns about rising alcohol abuse worldwide,en
WHO,Smoking increases disease risk,Nicotine addiction significantly harms long-term health,Addiction,smoking increases disease risk nicotine addiction significantly harms long-term health,en
Spiegel Gesundheit,Suchtprobleme nehmen zu,Alkohol- und Drogensucht belasten das Gesundheitssystem,Addiction,suchtprobleme nehmen zu alkohol- und drogensucht belasten das gesundheitssystem,de
Tagesschau Gesundheit,Drogenkonsum bei Jugendlichen steigt,Experten warnen vor steigender Abhängigkeit,Addiction,drogenkonsum bei jugendlichen steigt experten warnen vor steigender abhängigkeit,de
Deutsches Ärzteblatt,Suchtmedizin fordert Reformen,Bessere Prävention und Therapie für Abhängige nötig,Addiction,suchtmedizin fordert reformen bessere prävention und therapie für abhängige nötig,de
WHO,Healthy nutrition reduces obesity,Balanced diet and exercise prevent obesity,Nutrition and lifestyle,healthy nutrition reduces obesity balanced diet and exercise prevent obesity,en
WHO,Physical activity improves health,Regular exercise lowers risk of chronic diseases,Nutrition and lifestyle,physical activity improves health regular exercise lowers risk of chronic diseases,en
Spiegel Gesundheit,Ernährung im Alltag verbessern,Gesunde Ernährung steigert Lebensqualität,Nutrition and lifestyle,ernährung im alltag verbessern gesunde ernährung steigert lebensqualität,de
Tagesschau Gesundheit,Bewegungsmangel als Gesundheitsrisiko,Zu wenig Sport erhöht Krankheitsrisiken,Nutrition and lifestyle,bewegungsmangel als gesundheitsrisiko zu wenig sport erhöht krankheitsrisiken,de
Deutsches Ärzteblatt,Adipositas durch falsche Ernährung,Übergewicht entsteht durch schlechte Ernährungsgewohnheiten,Nutrition and lifestyle,adipositas durch falsche ernährung übergewicht entsteht durch schlechte ernährungsgewohnheiten,de
WHO,Healthcare systems under pressure,Hospitals face staff shortages and financial stress,Policy and system,healthcare systems under pressure hospitals face staff shortages and financial stress,en
WHO,Health insurance reforms discussed,Governments plan changes to healthcare insurance systems,Policy and system,health insurance reforms discussed governments plan changes to healthcare insurance systems,en
Spiegel Gesundheit,Krankenhäuser unter Personalmangel,Kliniken kämpfen mit zu wenig Pflegepersonal,Policy and system,krankenhäuser unter personalmangel kliniken kämpfen mit zu wenig pflegepersonal,de
Tagesschau Gesundheit,Reform des Gesundheitssystems geplant,Politik plant strukturelle Veränderungen,Policy and system,reform des gesundheitssystems geplant politik plant strukturelle veränderungen,no
Deutsches Ärzteblatt,Krankenversicherung vor Reform,Ärzte diskutieren neue gesetzliche Regelungen,Policy and system,krankenversicherung vor reform ärzte diskutieren neue gesetzliche regelungen,de
WHO,Measles cases increase worldwide,WHO reports rising measles outbreaks due to low vaccination,Measles,measles cases increase worldwide who reports rising measles outbreaks due to low vaccination,en
Spiegel Gesundheit,Masernfälle nehmen zu,Ärzte warnen vor fehlendem Impfschutz,Measles,masernfälle nehmen zu ärzte warnen vor fehlendem impfschutz,de
Tagesschau Gesundheit,Masern-Impfung wichtiger denn je,Behörden rufen zur Impfung auf,Measles,masern-impfung wichtiger denn je behörden rufen zur impfung auf,de
Deutsches Ärzteblatt,Masern breiten sich erneut aus,Unzureichende Impfquoten als Ursache,Measles,masern breiten sich erneut aus unzureichende impfquoten als ursache,de
