source,published,topic,title,summary,link
WHO,2025-10-31 08:22:57+00:00,Other,"WHO calls for a new era of strategic urban health action with global guide to unlock healthy, prosperous and resilient societies","With the new guide for decision-makers launched today, WHO provides concrete ideas to usher in a new era of urban health action. The Guide responds to the growing demand for integrated solutions that address health challenges and promote health more broadly in urban settings.",https://www.who.int/news/item/31-10-2025-who-calls-for-a-new-era-of-strategic-urban-health-action-with-global-guide-to-unlock-healthy-prosperous-and-resilient-societies
WHO,2025-10-29 20:36:37+00:00,Nutrition and lifestyle,"WHO condemns killings of patients and civilians amid escalating violence in El Fasher, Sudan","<div><p>The World Health Organization (WHO) condemns the reported killing of more than 460 patients and their companions, as well as the abduction of six health workers, on 28 October from the Saudi Maternity Hospital in El Fasher.  &nbsp;</p></div><div><p lang=""EN-US"" xml:lang=""EN-US""><span style=""background-color: transparent; text-align: inherit; white-space: inherit;"">This latest tragedy is taking place in the rapidly worsening crisis in North Darfur&rsquo;s El Fasher, where escalating violence, siege conditions and rising hunger and disease are killing civilians, including children, and collapsing an already-fragile health system.&nbsp;</span></p></div><div><p>On 26 October, Saudi Maternity Hospital, the only partially functioning hospital in El Fasher, was attacked for the fourth time in a month, killing one nurse and injuring three other health workers. On 28 October, six health workers, four doctors, a nurse and a pharmacist, were abducted. On the same day, more than 460 patients and their companions were reportedly shot and killed in the hospital. &nbsp;<br /> &nbsp;<br />Since the conflict began, 46 health workers have been killed in El Fasher &ndash; among them the Director of Primary Health Care in the State Ministry of Health &ndash; and another 48 injured. The status of personnel working in three nongovernmental organizations in El Fasher remains unknown. WHO condemns these horrific attacks on health care in the strongest terms and calls for the respect of the sanctity of health care as mandated under International Humanitarian Law.&nbsp;</p></div><div><p lang=""EN-US"" xml:lang=""EN-US""><span style=""background-color: transparent; text-align: inherit; white-space: inherit;"">More than 260 000 people remain trapped in El Fasher with almost no access to food, clean water, or medical care. Escalating violence has forced about 28 000 people to flee El Fasher Town in recent days, 26 000 of them to rural areas of El Fasher and up to 2000 to Tawila. Over 100 000 more people are expected to move to Tawila in the coming days and weeks, adding to the 575 000 already displaced from El Fasher who are sheltering there and other areas. Many of the displaced are women and unaccompanied children facing acute shortages of shelter, protection, food, water, and health care. &nbsp;</span></p></div><div><p>In addition to violence, and the lack of basic essentials for life and health, cholera continues to spread rapidly in El Fasher as people lack access to safe water. Disease surveillance and response activities are reduced as a result of the deteriorating security situation. This year alone, El Fasher has reported 272 suspected cases of cholera and 32 deaths, an alarming case fatality rate of nearly 12%. Across Darfur, 18 468 cases and 662 deaths have been recorded in 40 localities.  &nbsp;<br /> &nbsp;<br />El Fasher has been cut off from humanitarian aid since February 2025, and malnutrition is rising sharply, especially among children and pregnant women, weakening immunity and heightening vulnerability to cholera, malaria, and other infectious diseases. Many families have exhausted food stocks or lost access to markets.&nbsp;<br />&nbsp;<br />Despite access restrictions to El Fasher, WHO teams are working around the clock to keep health services running where possible, particularly in areas where people displaced by insecurity arrive. Twenty metric tons of WHO medicines and emergency kits, including supplies for cholera and management of severe acute malnutrition with medical complications, are being moved from Nyala to Tawila to support medical and rapid-response teams providing care for displaced people. Health supplies handed over to partners at Abeche, Chad, are being fast-tracked for delivery to Tawila and other gathering locations.  &nbsp;<br /><span style=""background-color: transparent; text-align: inherit; white-space: inherit;""></span></p><p><span style=""background-color: transparent; text-align: inherit; white-space: inherit;"">WHO is coordinating with health partners at reception sites in Korma, located between El Fasher and Tawila, to stabilize critically ill and injured people and facilitate referrals to Tawila. WHO is also preparing to deploy rapid response teams within Tawila and surrounding localities to respond to the urgent health needs of those arriving from El Fasher. WHO trucks are on standby in Darfur to join a UN aid convoy carrying food, medicines, and lifesaving health supplies into El Fasher as soon as access opens. &nbsp;</span></p></div><div><p>WHO calls for an immediate end to hostilities in El Fasher and all of Sudan; for the protection of civilians, humanitarian workers, and health care; and safe, rapid, and unimpeded humanitarian access to deliver lifesaving aid. &nbsp;</p></div>",https://www.who.int/news/item/29-10-2025-who-condemns-killings-of-patients-and-civilians-amid-escalating-violence-in-el-fasher--sudan
WHO,2025-10-29 00:05:18+00:00,Nutrition and lifestyle,"Climate inaction is claiming millions of lives every year, warns new Lancet Countdown report","<div><p>WHO and global partners are calling for the protection of people&rsquo;s health to be recognized as the most powerful driver of climate action, as a new global report released today warns that continued overreliance on fossil fuels and failure to adapt to a heating world are already having a devastating toll on human health.</p><p><span>The 2025 report of the Lancet Countdown on Health and Climate Change, produced in collaboration with the World Health Organization (WHO), finds that 12 of 20 key indicators tracking health threats have reached record levels, showing how climate inaction is costing lives, straining health systems, and undermining economies.</span></p></div><div><p>&ldquo;The climate crisis is a health crisis. Every fraction of a degree of warming costs lives and livelihoods,&rdquo; said Dr Jeremy Farrar, Assistant Director-General for Health Promotion and Disease Prevention and Care at the World Health Organization. &ldquo;This report, produced with WHO as a strategic partner, makes clear that climate inaction is killing people now in all countries.&nbsp; However, climate action is also the greatest health opportunity of our time. Cleaner air, healthier diets, and resilient health systems can save millions of lives now and protect current and future generations.&rdquo;</p><h2><span>Key findings from the 2025 Lancet Countdown report</span></h2></div><div><ul><li><strong>Rising heat-related deaths:</strong> The rate of heat-related mortality has increased 23% since the 1990s, pushing total heat-related deaths to an average 546 000 deaths per year. The average person was exposed to 16 days of dangerous heat in 2024 that would not have been expected without climate change, with infants and older adults facing a total of over 20 heatwave days per person, a fourfold increase over the last twenty years.</li><li><span><strong>Wildfire and drought impacts:</strong> Droughts and heatwaves were associated with an additional 124 million people facing moderate or severe food insecurity in 2023.</span></li><li><span><strong></strong></span><strong>Economic strain:</strong> Heat exposure caused 640 billion potential labour hours to be lost in 2024, with productivity losses equivalent to US$ 1.09 trillion. The costs of heat-related deaths among older adults reached US$ 261 billion.</li><li><strong>Fossil fuel subsidies dwarf climate finance:</strong> Governments spent US$ 956 billion on net fossil fuel subsidies in 2023, more than triple the annual amount pledged to support climate-vulnerable countries. Fifteen countries spent more subsidizing fossil fuels than on their entire national health budgets.</li><li><strong>Benefits of climate action:</strong> There were an estimated 160 000 premature deaths avoided every year between 2010 and 2022, from reduced coal-derived outdoor air pollution alone. Renewable energy generation reached a record 12% of global electricity, creating 16 million jobs worldwide. Two-thirds of medical students received education in climate and health in 2024.</li></ul></div><p>&ldquo;We already have the solutions at hand to avoid a climate catastrophe &ndash; and communities and local governments around the world are proving that progress is possible. From clean energy growth to city adaptation, action is underway and delivering real health benefits &ndash; but we must keep up the momentum,&rdquo; said Dr Marina Romanello, Executive Director of the Lancet Countdown at University College London. &ldquo;Rapidly phasing out fossil fuels in favour of clean renewable energy and efficient energy use remains the most powerful lever to slow climate change and protect lives. At the same time, shifting to healthier, climate-friendly diets and more sustainable agricultural systems would massively cut pollution, greenhouse gases and deforestation, potentially saving over ten million lives a year.&rdquo;</p><div><h2>Health-promoting climate action</h2></div><p>While some governments have slowed their climate commitments, the report shows that cities, communities and the health sector are leading the way. Nearly all reporting cities (834 of 858) have completed or plan to complete climate risk assessments. The energy transition is delivering cleaner air, healthier jobs, measurable economic growth and inward investment.</p><div><p>The health sector itself has shown impressive climate leadership, with health-related greenhouse gases (GHG) emissions falling 16% globally between 2021 and 2022, while improving care quality.</p></div><p>Data submitted by WHO show that a growing number of health systems are assessing risks and preparing for the dangerous future that's coming. Fifty-eight per cent of Member States have completed a health Vulnerability and Adaptation assessment and 60% have completed a Health National Adaptation Plan.&nbsp;</p><div><h2>Looking ahead to COP30: placing health at the centre of climate action</h2></div><p>As the world prepares for COP30 in Bel&eacute;m, Brazil, the findings of the 2025 Global Report of the Lancet Countdown provide a key evidence base for accelerating health-centered climate action. WHO will build on this momentum through the forthcoming COP30 Special Report on Climate Change and Health, a collaborative effort highlighting the policies and investments needed to protect health, equity, and deliver the Bel&eacute;m Action Plan that is the expected landmark outcome of COP30.</p><div><p>The Lancet Countdown on Health and Climate Change was established in partnership with Wellcome, which continues to provide core financial support. The Lancet Countdown is led by University College London, in partnership with WHO and 71 academic institutions and UN agencies worldwide. Now in its ninth year, the report provides the most comprehensive assessment of the health impacts of climate change and the co-benefits of urgent action, ahead of COP30 in Brazil.</p></div><p></p>",https://www.who.int/news/item/29-10-2025-climate-inaction-is-claiming-millions-of-lives-every-year--warns-new-lancet-countdown-report
WHO,2025-10-19 19:27:44+00:00,Other,Fiji becomes the 26th country to eliminate trachoma as a public health problem,"<p>In a landmark public health achievement, Fiji has been validated by the World Health Organization (WHO) for eliminating trachoma as a public health problem. Trachoma, a neglected tropical disease (NTD) and the world&rsquo;s leading infectious cause of blindness, no longer poses a public health threat in the country.</p><p>Trachoma is the first NTD to be eliminated in Fiji. Fiji is the 26th country to eliminate trachoma as a public health problem and the 58th country globally to eliminate at least one NTD.</p><p>&ldquo;WHO congratulates Fiji and its network of global and local partners on reaching this milestone,&rdquo; said Dr Tedros Adhanom Ghebreyesus, WHO Director-General. &ldquo;Future generations of Fijians have been given a precious gift in being set free from the suffering that trachoma has inflicted on their ancestors.&rdquo;</p><p>Trachoma is caused by the bacterium <em>Chlamydia trachomatis</em> and spreads through personal contact, interactions with contaminated surfaces and on flies that have been in contact with eye or nose discharge of an infected person. Repeated infections can lead to scarring, in-turning of the eyelids, and ultimately blindness. Globally, the disease remains endemic in many vulnerable communities where access to clean water and sanitation is limited.</p><h2>Fiji&rsquo;s success story</h2><p>&ldquo;Fiji&rsquo;s success in eliminating trachoma is a beacon of what&rsquo;s possible when communities, governments, and partners unite behind a shared goal&rdquo;, said Dr Saia Ma&rsquo;u Piukala, WHO Regional Director for the Western Pacific.&nbsp;&nbsp;&ldquo;This is a celebration of the power of Pacific leadership and the impact of sustained investment in health. WHO congratulates Fiji and is committed to supporting countries across the Region in advancing health for all so that no one is left behind.&rdquo;</p><p>Trachoma was once a significant public health problem in Fiji, with medical reports from the 1930s and community-based surveys in the 1950s documenting widespread disease and risk of blindness. By the 1980s, the condition had declined markedly, with cataract and refractive error emerging as the main causes of vision loss. </p><p>Concern however was renewed in the 2000s, when rapid assessments suggested high levels of active trachoma in children, prompting the Ministry of Health and Medical Services to launch a comprehensive programme to better understand the situation and take necessary action.</p><p>Since 2012, Fiji has undertaken a series of robust, internationally supported surveys and studies, including population-based prevalence surveys and laboratory testing, to understand the local epidemiology of trachoma and distinguish it from other causes of eye disease. This sustained effort, integrated with school health, water and sanitation initiatives, and community awareness programmes, has confirmed that trachoma is no longer a public health problem in Fiji and that systems are in place to identify and manage future cases. </p><p>&nbsp;&ldquo;Fiji&rsquo;s elimination of trachoma is a defining moment for health equity in the Pacific,&rdquo; said Honourable Dr Ratu Atonio Rabici Lalabalavu, Minister of Health and Medical Services of Fiji.&nbsp;&nbsp;&ldquo;This achievement reflects years of coordinated action &ndash; across villages, health facilities and regional platforms &ndash; demonstrating unwavering commitment of our health- care workers, communities leading the change. As we celebrate this milestone, we call on our donors and partners in the Pacific and beyond to continue supporting accelerated action of neglected tropical diseases to address other diseases not only in Fiji, but across the Pacific&rdquo;.&nbsp;&nbsp;</p><h2>Contribution to global progress<strong> </strong></h2><p>Neglected tropical diseases (NTDs) are a diverse group of diseases and conditions associated with devastating health, social and economic consequences. They are mainly prevalent mostly among impoverished communities in tropical areas. WHO estimates that NTDs affect more than 1 billion people.</p><p>The targets included in the  <a href=""https://www.who.int/publications/i/item/9789240010352"">Road map for neglected tropical diseases 2021&ndash;2030</a> cover the prevention, control, elimination and eradication of 20 diseases and disease groups by 2030.</p><p>Since 2016, 13 Member States in the Western Pacific Region, which covers 38 countries and areas, have been validated by WHO for eliminating at least one NTD. Of these, six (Cambodia, China, the Lao People&rsquo;s Democratic Republic, Papua New Guinea, Vanuatu and Viet Nam) have successfully eliminated trachoma as a public health problem. Trachoma elimination is part of broader progress on NTDs in Fiji and the rest of the Western Pacific Region. </p><p>WHO continues to support countries in their efforts to eliminate trachoma and other NTDs, ensuring healthier lives for all, particularly the most disadvantaged.</p>",https://www.who.int/news/item/20-10-2025-fiji-becomes-the-26th-country-to-eliminate-trachoma-as-a-public-health-problem
WHO,2025-10-17 08:54:06+00:00,Vaccination,"Health Works Leaders Coalition launched to promote health system investments and spur economic growth, job creation","<p>The World Bank Group, the Government of Japan, and the World Health Organization officially launched the <a href=""https://www.worldbank.org/en/programs/health-works/leaders-coalition"" target=""_blank"">Health Works Leaders Coalition</a>. This global alliance brings together health and finance ministers, philanthropic organizations, business leaders, leaders of global health agencies, and civil society representatives with the aim of promoting investments in health systems as a strategy for economic growth, job creation, and improved resilience.</p><p>The Leaders Coalition is central to <a href=""https://www.worldbank.org/en/programs/health-works"" target=""_blank"">Health Works</a>, a broader, global initiative led by the World Bank Group and partners to <a href=""https://www.worldbank.org/en/news/factsheet/2024/04/18/expanding-health-services-to-1-5-billion-people"" target=""_blank"">help countries reach 1.5&nbsp;billion people with quality, affordable health services by 2030</a>.</p><p>The Coalition aims to mobilize domestic and international investments, catalyse reform, and align partners behind scalable, government-led priorities. The Coalition is not a funding mechanism, but rather a coordinated effort to drive bold, high-impact action on health reform globally. During the inaugural meeting, held during the World Bank Group Annual Meetings, it was announced that an initial group of 21 countries will develop National Health Compacts &ndash; government-led agreements that will lay out bold reforms, investment priorities, shared accountability and unlock resources for expanding access to quality, affordable health care.</p><p>Reform priorities range from free health checkups and expansion of health insurance in Indonesia to developing a pharmaceutical strategy in Mexico aimed at creating 60&nbsp;000 jobs through private sector partnerships.</p><p>The first compacts, representing a range of income levels and geographic regions, are scheduled for formal launch at the <a href=""https://www.worldbank.org/en/programs/health-works/news-n-events"" target=""_blank"">UHC High-Level Forum in Tokyo in December 2025</a>.</p><p>The Government of Japan also announced the first group of eight countries participating in the inaugural programme of the UHC Knowledge Hub in Tokyo &ndash; a new platform designed to support national policy-makers from developing countries through capacity-building and knowledge sharing.</p><p>&ldquo;Strengthening health systems in developing countries depends on cultivating health financing expertise within both health and finance ministries,&rdquo; said Atsushi Mimura, Vice Minister of Finance for International Affairs at Japan&rsquo;s Ministry of Finance. &ldquo;Through targeted training programmes, the UHC Knowledge Hub will share Japan&rsquo;s experience to build institutional capacity and support tangible reforms in health financing.&rdquo;</p><p>&ldquo;Sharp cuts in overseas aid are impacting health services in many nations,&rdquo; said Dr Tedros Adhanom Ghebreyesus, WHO Director-General. &ldquo;But affected countries are rising to the challenge, shifting from heavy reliance on overseas assistance to greater ownership over their health systems and futures. We must support countries to mobilize domestic resources for their health systems, especially for primary care services, and to protect the poorest from financial hardship by reducing out-of-pocket spending.&rdquo;</p><p>&ldquo;Our goal is ambitious: to help countries deliver quality, affordable health services to 1.5&nbsp;billion people by 2030. No single institution, government, or philanthropist can achieve that alone,&rdquo; said Ajay Banga, World Bank Group President. &ldquo;But with aligned purpose and shared effort, it is possible. If we get this right, we can make real impact &ndash; improving health, transforming lives, strengthening economies &ndash; and creating jobs. This effort is as much an ingredient of our jobs agenda as it is a health initiative.&rdquo;<br />&nbsp;</p><p><strong>Health Work Leaders Coalition Members:</strong></p><ul><li>Egypt</li><li>Ethiopia</li><li>GAVI, The Vaccine Alliance</li><li>Indonesia</li><li>Kenya</li><li>Nigeria</li><li>Philippines</li><li>Seed Global Health</li><li>Sierra Leone</li><li>Saint Lucia</li><li>The Global Fund to Fight AIDS, Tuberculosis and Malaria</li><li>The Susan Thompson Buffett Foundation</li><li>United Kingdom</li><li>WACI Health</li><li>Wellcome Trust</li></ul><p><br /><strong>National Health Compact Countries:</strong></p><table><colgroup><col /><col /><col /></colgroup>
 <tbody><tr><td>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Bangladesh<br />&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Cambodia<br />&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Cote D&rsquo;Ivoire<br />&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Egypt<br />&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Ethiopia<br />&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Fiji<br />&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; India </td><td>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Indonesia<br />&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Kenya<br />&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Mexico<br />&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Morocco<br />&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Nigeria<br />&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Philippines<br />&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Saint Lucia<br />&nbsp; </td><td>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sierra Leone<br />&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Syria<br />&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Tajikistan<br />&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Tanzania<br />&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Uganda<br />&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Uzbekistan<br />&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Zambia<br />&nbsp; </td></tr></tbody></table><p><strong>Initial UHC Knowledge Hub Countries:</strong></p><p>Cambodia, Egypt, Ethiopia, Ghana, Indonesia, Kenya, Nigeria, Philippines</p><p>&nbsp;</p>",https://www.who.int/news/item/17-10-2025-health-works-leaders-coalition-launched-to-promote-health-system-investments-and-spur-economic-growth-job-creation
